open,high,low,close,volume,marketCap,timestamp
2.6715585612,2.7635791048,2.4104750653,2.7635791048,795101399.86,7033326157.63,2021-11-04T23:59:59.999Z
2.7691846628,2.959956656,2.6333218913,2.6568875792,966853396.22,6761795555.84,2021-11-05T23:59:59.999Z
2.6577079854,2.792616193,2.5802728511,2.7712080663,529193524.21,7052741912.52,2021-11-06T23:59:59.999Z
2.7705988379,2.8999229509,2.7604805475,2.8689366234,487687524.67,7301461703.46,2021-11-07T23:59:59.999Z
2.8709477975,3.1698702208,2.821582125,3.1640015499,1006904051.73,8052403792.31,2021-11-08T23:59:59.999Z
3.163735664,3.1697369207,2.8588235852,2.8706420736,680490730.33,7305802084.92,2021-11-09T23:59:59.999Z
2.8678863082,2.9846002534,2.3877248056,2.6469128059,1039209938.95,6736409694.98,2021-11-10T23:59:59.999Z
2.6482152469,2.7290753601,2.5782192956,2.6054032478,509566801.37,6630767609.28,2021-11-11T23:59:59.999Z
2.6019244801,2.675736482,2.4576235736,2.6301627342,779098693.77,6693780657.53,2021-11-12T23:59:59.999Z
2.6313668783,2.715202358,2.5731193474,2.6188846331,398728584.1,6665077819.47,2021-11-13T23:59:59.999Z
2.6190198809,2.6497661239,2.5128870384,2.5876169627,334207051.11,6585501402.17,2021-11-14T23:59:59.999Z
2.5891948328,2.6156344571,2.4637540962,2.4637540962,340376994.14,6270269629.84,2021-11-15T23:59:59.999Z
2.4749307482,2.6179742929,2.0306506946,2.2037893265,779034387.34,5608657660.3,2021-11-16T23:59:59.999Z
2.2058349183,2.2369150234,2.1114529135,2.1516300308,579806309.56,5475911925.53,2021-11-17T23:59:59.999Z
2.1498265705,2.225767566,1.774604266,1.8494173195,938012560.53,4706778679.62,2021-11-18T23:59:59.999Z
1.8455046238,2.2659928211,1.8163315526,2.2620876168,913164409.15,5757027174.75,2021-11-19T23:59:59.999Z
2.2639369793,2.2847513738,2.0814262981,2.1824314563,540712417.62,5554301746.6,2021-11-20T23:59:59.999Z
2.1809435702,2.1809435702,2.0166451169,2.0828096963,500177170.82,5300763742.59,2021-11-21T23:59:59.999Z
2.0791629455,2.0882273807,1.9236284101,1.9438324034,467737264.47,4947065660.42,2021-11-22T23:59:59.999Z
1.9493698422,2.4438661336,1.9295670233,2.3060018926,1457105760.19,5868789282.17,2021-11-23T23:59:59.999Z
2.3142165308,2.6087559503,2.2253727389,2.2582476135,1480603481.98,5747254342.41,2021-11-24T23:59:59.999Z
2.5885651697,2.6707163379,2.4223664263,2.5450123881,1432008306.66,6477072492.69,2021-11-25T23:59:59.999Z
2.4690648,2.5603666031,2.011926222,2.105109783,989139137.38,5357517603.08,2021-11-26T23:59:59.999Z
2.115814788,2.2134199505,2.0338282401,2.0833838501,405589469.45,5302224967.53,2021-11-27T23:59:59.999Z
2.0854053683,2.1180247222,1.8989340491,2.1116202779,469939336.92,5374086853.46,2021-11-28T23:59:59.999Z
2.1129480415,2.1900480504,2.0657079555,2.1608218035,383857289.78,5499305044.86,2021-11-29T23:59:59.999Z
2.163743675,2.2830180908,2.0787508492,2.1397477126,517601400.37,5445671351.3,2021-11-30T23:59:59.999Z
2.1364548078,2.2760337733,2.1249369518,2.1437351892,474895682.42,5455819504.29,2021-12-01T23:59:59.999Z
2.1432071908,2.1432071908,2.0283868506,2.0635607331,349624519.33,5251775010.47,2021-12-02T23:59:59.999Z
2.0668748892,2.1616446737,1.9004294349,1.9788633827,444773038.39,5036219722.27,2021-12-03T23:59:59.999Z
